codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
84716;PSGPE;***;AVIÃO;BOEING COMPANY;B737-8 MAX;B38M;NULL;***;78000;78000;0;2018;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;HERCÍLIO LUZ;POUSO;REGULAR;NENHUM;0
84715;PRJLS;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;1995;BRASIL;BRASIL;AVIÃO;***;SOROCABA;LEITE LOPES;POUSO;PRIVADA;LEVE;0
84714;PSVTT;***;***;EPIC AIRCRAFT;E1000;EPIC;NULL;MONOMOTOR;3629;3629;NULL;NULL;BRASIL;BRASIL;***;***;SANTOS DUMONT;CONGONHAS;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
84713;PTJHN;***;AVIÃO;PIPER AIRCRAFT;PA-34-200;PA34;PISTÃO;BIMOTOR;1905;1905;7;1974;BRASIL;BRASIL;AVIÃO;***;Comandante Rolim Adolfo Amaro;Comandante Rolim Adolfo Amaro;CRUZEIRO;INSTRUÇÃO;LEVE;0
84712;PRAUQ;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2015;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;SANTOS DUMONT;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
84711;PSAEE;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61200;61200;143;2020;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;VIRACOPOS;DECOLAGEM;REGULAR;LEVE;0
84710;PRMBU;***;AVIÃO;AIRBUS;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;DEPUTADO LUÍS EDUARDO MAGALHÃES;DECOLAGEM;REGULAR;NENHUM;0
84709;PSAEE;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61200;61200;143;2020;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;AFONSO PENA;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
84708;PRAXN;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;CATARATAS;DECOLAGEM;REGULAR;NENHUM;0
84707;PURJM;***;ULTRALEVE;SALUSTINO REFEIÇÕES LTDA ME;RV-9A;ULAC;PISTÃO;MONOMOTOR;750;750;2;2011;BRASIL;BRASIL;ULTRALEVE;***;COSTA ESMERALDA;OLAVO CECCO RIGON;POUSO;EXPERIMENTAL;SUBSTANCIAL;0
84706;PRGEJ;***;AVIÃO;BOEING;737-76N;B737;TURBOEIXO;BIMOTOR;70080;70080;146;NULL;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;CONGONHAS;PUSHBACK;REGULAR;NENHUM;0
84705;PRAXG;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;TURBOEIXO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;MARECHAL RONDON;SUBIDA;REGULAR;NENHUM;0
84704;PRBBE;***;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1977;BRASIL;BRASIL;AVIÃO;***;BACACHERI;BACACHERI;TÁXI;INSTRUÇÃO;NENHUM;0
84703;PRAXO;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTOS DUMONT;CRUZEIRO;REGULAR;NENHUM;0
84702;PTXPF;***;AVIÃO;AIRBUS;A321-211;A321;JATO;BIMOTOR;89000;89000;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;EDUARDO GOMES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;NENHUM;0
84701;PTMXF;***;AVIÃO;AIRBUS;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2010;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;PINTO MARTINS;DECOLAGEM;REGULAR;LEVE;0
84700;PRMYJ;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2010;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;CONGONHAS;SUBIDA;REGULAR;NENHUM;0
84699;PROOL;***;***;SIKORSKY AIRCRAFT;S-92A;S92;NULL;BIMOTOR;12020;12020;NULL;NULL;BRASIL;BRASIL;***;***;SÃO TOMÉ;FORA DE AERODROMO;CRUZEIRO;NÃO REGULAR;NENHUM;0
84698;PPAMI;***;HELICÓPTERO;AGUSTA;AW119MKII;A119;TURBOEIXO;MONOMOTOR;2850;2850;6;2008;BRASIL;BRASIL;HELICÓPTERO;***;MINISTRO VICTOR KONDER;REGIONAL HUGO CANTERGIANI;CRUZEIRO;NÃO REGULAR;NENHUM;0
84697;PTYTP;***;HELICÓPTERO;BELL HELICOPTER;206B;B06;TURBOEIXO;MONOMOTOR;1451;1451;5;1998;BRASIL;BRASIL;HELICÓPTERO;***;NOVA PRATA;NOVA PRATA;MANOBRA;PRIVADA;LEVE;0
84696;PTVSB;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1995;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR JOSÉ RICHA;CAMPO DE MARTE - SP;SUBIDA;PRIVADA;NENHUM;0
84695;PTETW;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTÃO;MONOMOTOR;1542;1542;7;1978;BRASIL;BRASIL;AVIÃO;***;PIQUIATUBA;;CRUZEIRO;NÃO REGULAR;SUBSTANCIAL;0
84693;PTLXQ;***;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6;1982;BRASIL;BRASIL;AVIÃO;***;REDENÇÃO;SANTA GENOVEVA/GOIÂNIA;CRUZEIRO;PRIVADA;NENHUM;0
84692;PRPJN;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61500;61500;143;2019;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;Comandante Ariston Pessoa;POUSO;REGULAR;NENHUM;0
84691;PRPDT;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR72-212A 500;AT75;***;SEM TRAÇÃO;0;0;0;0;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ALUÍZIO ALVES;DIX-SEPT ROSADO;DECOLAGEM;REGULAR;NENHUM;0
84690;PRGZW;***;AVIÃO;BOEING;737-86N;B738;;BIMOTOR;79015;79015;0;2006;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;PRESIDENTE CASTRO PINTO;POUSO;REGULAR;LEVE;0
84689;PRXMI;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;0;0;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;REGULAR;LEVE;0
84688;PRMBW;***;AVIÃO;AIRBUS;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTOS DUMONT;CRUZEIRO;REGULAR;NENHUM;0
84687;PRGZW;***;AVIÃO;BOEING;737-86N;B738;;BIMOTOR;79015;79015;0;2006;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE CASTRO PINTO;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;***;LEVE;0
84686;PRGUP;***;AVIÃO;BOEING;737-8HX;B738;JATO;BIMOTOR;79000;79000;193;2012;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;GUARARAPES - GILBERTO FREYRE;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
84685;N832MH;***;AVIÃO;BOEING;B764;B764;NULL;BIMOTOR;184000;184000;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;Atlanta Hartsfield-Jackson;CRUZEIRO;REGULAR;NENHUM;0
84684;PRMYI;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2010;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;NENHUM;0
84683;PRVBL;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;79000;79000;197;2007;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SÍLVIO NAME JÚNIOR;POUSO;REGULAR;LEVE;0
84682;PRPDZ;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT75;***;SEM TRAÇÃO;23000;23000;0;2013;BRASIL;BRASIL;AVIÃO;***;LEITE LOPES;SANTOS DUMONT;DESCIDA;REGULAR;NENHUM;0
84680;PRXBO;***;AVIÃO;AIRBUS S.A.S.;A320-271N;A20N;JATO;BIMOTOR;79000;79000;189;0;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;EURICO DE AGUIAR SALLES;POUSO;REGULAR;LEVE;0
84679;PPGCL;***;AVIÃO;AERO BOERO;AB-180;AB18;PISTÃO;MONOMOTOR;844;844;2;1991;BRASIL;BRASIL;AVIÃO;***;PIRASSUNUNGA;PIRASSUNUNGA;CRUZEIRO;INSTRUÇÃO;NENHUM;0
84678;PRAKL;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2017;BRASIL;BRASIL;AVIÃO;***;MÁRIO RIBEIRO;ANTONIO CARLOS JOBIM / GALEÃO;SUBIDA;REGULAR;NENHUM;0
84677;PRVBQ;***;AVIÃO;BOEING;737-76N;B737;JATO;BIMOTOR;61461;61461;147;2002;BRASIL;BRASIL;AVIÃO;***;JOÃO CORREA DA ROCHA;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;NENHUM;0
84676;PTCPR;***;AVIÃO;CESSNA AIRCRAFT;182J;C182;PISTÃO;MONOMOTOR;1270;1270;4;1966;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INDETERMINADA;PRIVADA;SUBSTANCIAL;0
84675;PPEHO;***;HELICÓPTERO;HELIBRAS;HB-350B;AS50;TURBOEIXO;MONOMOTOR;1950;1950;6;1981;BRASIL;BRASIL;HELICÓPTERO;***;HELPN POLÍCIA MILITAR DO ESTADO DE GOIÁS;FORA DE AERODROMO;APROXIMAÇÃO FINAL;POLICIAL;LEVE;0
84674;PRXMC;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;196;2018;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;HERCÍLIO LUZ;TÁXI;REGULAR;NENHUM;0
84673;PTTME;***;AVIÃO;AIRBUS;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2010;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTOS DUMONT;POUSO;REGULAR;NENHUM;0
84672;PSLBE;***;AVIÃO;PIPER AIRCRAFT;A321;A21N;NULL;BIMOTOR;89000;89000;224;0;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;NENHUM;0
84670;PRAKM;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);ATR76;***;SEM TRAÇÃO;23000;23000;0;2021;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JOÃO SUASSUNA;DEPUTADO LUÍS EDUARDO MAGALHÃES;CRUZEIRO;REGULAR;NENHUM;0
84669;PRRJO;***;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3969;3969;11;2008;BRASIL;BRASIL;AVIÃO;***;JUÍNA;MARECHAL RONDON;APROXIMAÇÃO FINAL;***;LEVE;0
84668;PRYRH;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;2017;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
84667;PRAQL;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2013;BRASIL;BRASIL;AVIÃO;***;MÁRIO RIBEIRO;ANTONIO CARLOS JOBIM / GALEÃO;CRUZEIRO;REGULAR;NENHUM;0
84666;PRYRA;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;2016;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;VIRACOPOS;CRUZEIRO;REGULAR;NENHUM;0
84664;PPJVD;***;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;MONOMOTOR;3629;3629;1;2013;BRASIL;BRASIL;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
84663;BRXXX2;***;***;DESCONHECIDO;***;***;***;***;0;0;NULL;NULL;BRASIL;BRASIL;***;***;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INDETERMINADA;***;SUBSTANCIAL;0
84662;PRGJE;***;AVIÃO;PIPER AIRCRAFT;PA-28R-201T;P28R;PISTÃO;MONOMOTOR;1315;1315;4;1978;BRASIL;BRASIL;AVIÃO;***;FAZENDA JAGUARÉ;VAL DE CANS / JÚLIO CEZAR RIBEIRO;CRUZEIRO;PRIVADA;DESTRUÍDA;3
84661;PRAKD;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;***;SALGADO FILHO;SANTO ÂNGELO;CRUZEIRO;REGULAR;NENHUM;0
84660;FGSQV;***;AVIÃO;BOEING COMPANY;777-328ER;***;JATO;SEM TRAÇÃO;263080;263080;0;0;FRANÇA;FRANÇA;AVIÃO;***;CHARLES DE GAULLE;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
84659;PRSDT;***;AVIÃO;BOEING;737-4B6;B734;JATO;BIMOTOR;65990;65990;NULL;1994;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;DECOLAGEM;REGULAR;NENHUM;0
84657;PRPJN;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61500;61500;143;2019;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;TANCREDO NEVES;POUSO;REGULAR;LEVE;0
84656;PRSDT;***;AVIÃO;BOEING;737-4B6;B734;JATO;BIMOTOR;65990;65990;NULL;1994;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;GOVERNADOR ANDRÉ FRANCO MONTORO;SUBIDA;REGULAR;NENHUM;0
84655;PRXMN;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82644;82644;0;2021;BRASIL;BRASIL;AVIÃO;***;PLÁCIDO DE CASTRO;PRESIDENTE JUSCELINO KUBITSCHEK;APROXIMAÇÃO FINAL;***;NENHUM;0
84654;PSBDB;***;***;HONDA AIRCRAFT COMPANY;HA-420;HDJT;NULL;BIMOTOR;4853;4853;NULL;NULL;BRASIL;BRASIL;***;***;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;MAJOR BRIGADEIRO DO AR DOORGAL GOMES;POUSO;PRIVADA;LEVE;0
84653;PTAHR;***;AVIÃO;EMBRAER;EMB-202A;IPAN;PISTÃO;MONOMOTOR;1800;1800;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;SATÉLITE AVIAÇÃO AGRÍCOLA LTDA;SATÉLITE AVIAÇÃO AGRÍCOLA LTDA;DESCIDA;AGRÍCOLA;LEVE;0
84652;PTFBE;***;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;MONOMOTOR;3629;3629;1;2011;BRASIL;BRASIL;AVIÃO;***;FORA DE AERODROMO;PRIMAVERA DO LESTE;DECOLAGEM;AGRÍCOLA;LEVE;0
84651;PRSBK;***;HELICÓPTERO;BELL HELICOPTER;429;;TURBOEIXO;BIMOTOR;3402;3402;6;2018;BRASIL;BRASIL;HELICÓPTERO;***;HELIPARK;AGRISHOW;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;1
84650;PRRTE;***;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3995;3995;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;EDUARDO GOMES;IACIARA;DECOLAGEM;NÃO REGULAR;LEVE;0
84649;PPDUN;***;AVIÃO;PIPER AIRCRAFT;PA-46-500TP;P46T;TURBOÉLICE;MONOMOTOR;2310;2310;6;2012;BRASIL;BRASIL;AVIÃO;***;CAMPO DE MARTE - SP;PRIMAVERA DO LESTE;CRUZEIRO;PRIVADA;NENHUM;0
84648;PRFAA;***;AVIÃO;PIPER AIRCRAFT;PA-25-235;PA25;PISTÃO;MONOMOTOR;1315;1315;1;1966;BRASIL;BRASIL;AVIÃO;***;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;PRIVADA;SUBSTANCIAL;1
84647;PRSDL;***;AVIÃO;BOEING;737-3S3;B733;JATO;BIMOTOR;63276;63276;6;1988;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ANDRÉ FRANCO MONTORO;DESCIDA;NÃO REGULAR;NENHUM;0
84646;PSLRE;***;AVIÃO;PIPER AIRCRAFT;PA-46-350P;PA46;PISTÃO;MONOMOTOR;1950;1950;0;1997;BRASIL;BRASIL;AVIÃO;***;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;SANTOS DUMONT;POUSO;PRIVADA;NENHUM;0
84642;PRSDV;***;AVIÃO;BOEING;737-4Q8;B734;JATO;BIMOTOR;68038;68038;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;DEPUTADO LUÍS EDUARDO MAGALHÃES;CRUZEIRO;REGULAR;NENHUM;0
84641;PRSDT;***;AVIÃO;BOEING;737-4B6;B734;JATO;BIMOTOR;65990;65990;NULL;1994;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;DEPUTADO LUÍS EDUARDO MAGALHÃES;DECOLAGEM;REGULAR;NENHUM;0
84640;PRSDT;***;AVIÃO;BOEING;737-4B6;B734;JATO;BIMOTOR;65990;65990;NULL;1994;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;DEPUTADO LUÍS EDUARDO MAGALHÃES;DECOLAGEM;REGULAR;NENHUM;0
84639;PRSDU;***;AVIÃO;BOEING;737-4B6;B734;JATO;BIMOTOR;68038;68038;0;0;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;SUBIDA;REGULAR;NENHUM;0
84638;PRSDF;***;AVIÃO;BOEING COMPANY;737-3H6;B733;JATO;BIMOTOR;59193;59193;8;0;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;NENHUM;0
84637;PPWSA;***;AVIÃO;BOEING;B737-4Q8;B734;***;SEM TRAÇÃO;68038;68038;0;1994;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;GOVERNADOR ANDRÉ FRANCO MONTORO;CRUZEIRO;REGULAR;NENHUM;0
84636;PSLBA;***;AVIÃO;BOEING COMPANY;767-33A;B763;;BIMOTOR;184612;184612;0;0;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;AFONSO PENA;POUSO;REGULAR;LEVE;0
84635;PRYJC;***;AVIÃO;AIRBUS;A321-251NX;A21N;JATO;BIMOTOR;93500;93500;NULL;2020;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;GUARARAPES - GILBERTO FREYRE;TÁXI;REGULAR;NENHUM;0
84633;PSAEU;***;AVIÃO;EMBRAER;ERJ 190-400;E295;NULL;***;61200;61200;0;2024;BRASIL;BRASIL;AVIÃO;***;PROFESSOR URBANO ERNESTO STUMPF;PROFESSOR URBANO ERNESTO STUMPF;POUSO;***;NENHUM;0
84632;PRAKD;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;***;MINISTRO VICTOR KONDER;ANTONIO CARLOS JOBIM / GALEÃO;TÁXI;REGULAR;NENHUM;0
84631;PTCHQ;***;AVIÃO;CESSNA AIRCRAFT;172F;C172;PISTÃO;MONOMOTOR;1043;1043;4;1965;BRASIL;BRASIL;AVIÃO;***;BEBEDOURO;BACACHERI;CRUZEIRO;PRIVADA;NENHUM;0
84630;PRAKO;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;SEM TRAÇÃO;22000;22000;0;2021;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;PRESIDENTE PRUDENTE;POUSO;REGULAR;NENHUM;0
84625;PRYSO;***;AVIÃO;AIRBUS;A320-251N;A20N;***;***;77000;77000;NULL;2023;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
84624;PRPDS;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-42-500;AT45;***;SEM TRAÇÃO;0;0;0;0;BRASIL;BRASIL;AVIÃO;***;ORLANDO BEZERRA DE MENEZES;PINTO MARTINS;MANOBRA;REGULAR;NENHUM;0
84623;PRMBV;***;AVIÃO;AIRBUS;A319-132;A319;JATO;BIMOTOR;75500;75500;154;2008;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTOS DUMONT;DECOLAGEM;REGULAR;LEVE;0
84622;PPPML;***;HELICÓPTERO;BELL HELICOPTER;505;B505;TURBOEIXO;MONOMOTOR;1670;1670;5;2018;BRASIL;BRASIL;HELICÓPTERO;***;SÃO LUIZ;BOA VISTA;CRUZEIRO;PRIVADA;NENHUM;0
84620;GYMMH;***;***;DESCONHECIDO;;;NULL;BIMOTOR;0;0;NULL;NULL;BRASIL;BRASIL;***;***;ANTONIO CARLOS JOBIM / GALEÃO;HEATHROW AIRPORT;TÁXI;REGULAR;NENHUM;0
84619;PTRQY;***;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1982;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;NÃO IDENTIFICADO;POUSO;PRIVADA;SUBSTANCIAL;0
84618;PRFOT;***;AVIÃO;CESSNA AIRCRAFT;206;C206;PISTÃO;MONOMOTOR;1497;1497;6;1963;BRASIL;BRASIL;AVIÃO;***;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;MANOBRA;ESPECIALIZADA;NENHUM;0
84615;PRAXT;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2013;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;SALGADO FILHO;POUSO;REGULAR;NENHUM;0
84614;PRMYN;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2011;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
84613;PRTYD;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2013;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
84612;PRYRF;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;NULL;BRASIL;BRASIL;AVIÃO;***;TANCREDO NEVES;SANTA MARIA;POUSO;REGULAR;NENHUM;0
84611;PRYSH;***;AVIÃO;AIRBUS;A320-251N;A20N;JATO;BIMOTOR;77000;77000;0;2021;BRASIL;BRASIL;AVIÃO;***;JOÃO CORREA DA ROCHA;VAL DE CANS / JÚLIO CEZAR RIBEIRO;DECOLAGEM;REGULAR;NENHUM;0
84610;PRYRE;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;NULL;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;SANTA GENOVEVA/GOIÂNIA;POUSO;REGULAR;NENHUM;0
84609;PRGUX;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;PORTO SEGURO;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
84608;PRAKM;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);ATR76;***;SEM TRAÇÃO;23000;23000;0;2021;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;SANTA MARIA;POUSO;REGULAR;NENHUM;0
84607;PRMYW;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;SENADOR PETRÔNIO PORTELLA;POUSO;REGULAR;NENHUM;0
84606;PRYXT;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A 600;AT76;***;***;23000;23000;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;GOVERNADOR ALUÍZIO ALVES;POUSO;REGULAR;NENHUM;0
84605;PRAUM;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;0;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;ORLANDO BEZERRA DE MENEZES;POUSO;REGULAR;NENHUM;0
84604;PRMBH;***;AVIÃO;AIRBUS;A320-232;A320;JATO;BIMOTOR;77000;77000;166;2006;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;REGIONAL SUL;POUSO;REGULAR;NENHUM;0
