codigo_ocorrencia1;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao
84368;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84367;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84366;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84365;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84363;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84362;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84361;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84360;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84359;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84358;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84357;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84355;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84354;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84353;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84352;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84351;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84350;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84349;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84348;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84347;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84346;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84345;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84344;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84342;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84341;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84327;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84326;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84325;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84316;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84315;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84312;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84304;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84299;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84294;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84285;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84282;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84274;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84273;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84271;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84270;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84269;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84268;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84267;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84266;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84265;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84257;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
84257;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84255;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84254;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
84249;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84249;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84248;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84248;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
84231;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84220;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
84219;INDETERMINADO;INDETERMINADO;UNK
84201;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84148;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
84147;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
84146;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
84146;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84145;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
84145;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
84144;OUTROS;OUTROS;OTHR
84143;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84142;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84141;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84140;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84139;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84138;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84137;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84136;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84135;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84134;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84133;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84132;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84131;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84130;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84129;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84128;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84127;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84126;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84125;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84124;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84123;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84122;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84121;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84120;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84119;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84118;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84117;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84116;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84115;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84114;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84113;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84112;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84111;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84110;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84109;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84108;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84107;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84106;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84105;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84104;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84103;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84102;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84101;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84100;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84099;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84098;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84097;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84096;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84095;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84094;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84093;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84092;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84091;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84090;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84089;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84088;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84087;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84086;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84085;OPERAÇÕES NO SOLO;OPERAÇÕES NO SOLO;[RAMP]
84084;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84083;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
84082;OPERAÇÃO A BAIXA ALTITUDE;OPERAÇÃO A BAIXA ALTITUDE;LALT
84082;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
84081;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84080;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84079;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84078;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84077;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84076;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84075;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84074;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84073;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84072;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84071;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84070;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84069;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84068;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84067;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84066;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84065;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84064;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
84063;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
84062;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84061;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84060;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84059;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84058;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84057;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84056;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84055;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84054;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84053;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84052;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84051;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84050;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84049;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84048;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84047;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84046;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84045;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84044;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84043;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84042;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84041;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84040;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84039;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84038;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84037;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84036;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84035;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84034;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84033;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84032;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84031;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84030;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84029;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84028;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84027;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84026;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84025;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84024;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84023;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84022;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84021;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84020;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84019;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84018;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
84017;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84016;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84015;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84013;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84012;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84011;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84010;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84009;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84008;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84007;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84006;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84005;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84004;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84003;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84002;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
84000;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83999;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83998;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83997;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83996;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83995;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83994;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83993;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83992;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP
83991;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83990;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83988;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83987;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83986;CONTATO ANORMAL COM A PISTAA;CONTATO ANORMAL COM A PISTA |;ARC
83985;CONTATO ANORMAL COM A PISTAA;CONTATO ANORMAL COM A PISTA |;ARC
83984;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83983;SEGURANÇA NA CABINE;SEGURANÇA NA CABINE;CABIN
83982;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83981;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83980;FOGO/FUMAÇA (SEM IMPACTO);FOGO/FUMAÇA (SEM IMPACTO);F-NI
83979;TURBULÊNCIA;TURBULÊNCIA;TURB
83978;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83977;OUTROS;OUTROS;OTHR
83976;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83975;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83974;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83973;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83971;POUSO EM LOCAL NÃO PREVISTO;OUTROS | POUSO EM LOCAL NÃO PREVISTO;OTHR
83970;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I
83969;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83968;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83967;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83966;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83965;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83964;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83963;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83962;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83961;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83960;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83959;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83958;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83957;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83956;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83955;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83954;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83953;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83952;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83951;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83950;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83949;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83948;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83947;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83946;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83945;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83944;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83943;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83942;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83941;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83940;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83939;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83938;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83937;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83936;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83935;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83934;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83933;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83932;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83931;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83931;FOGO/FUMAÇA (SEM IMPACTO);FOGO/FUMAÇA (SEM IMPACTO);F-NI
83930;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83929;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83928;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83927;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83926;COLISÃO COM FAUNA;COLISÃO COM FAUNA;WILD
83925;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83924;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83923;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83922;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83921;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83920;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83919;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83918;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83917;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83916;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83915;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83914;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83913;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83912;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83911;CONTATO ANORMAL COM A PISTAA;CONTATO ANORMAL COM A PISTA |;ARC
83911;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
83910;OUTROS;OUTROS;OTHR
83909;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83908;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83907;COLISÃO COM AVE;COLISÃO COM AVE;BIRD
83906;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83905;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83904;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83903;OPERAÇÕES NO SOLO;OPERAÇÕES NO SOLO;[RAMP]
83902;OPERAÇÕES NO SOLO;OPERAÇÕES NO SOLO;[RAMP]
83901;CORTANTE DE VENTO / TEMPESTADE;CORTANTE DE VENTO / TEMPESTADE;WSTRW
83900;OPERAÇÕES NO SOLO;OPERAÇÕES NO SOLO;[RAMP]
83899;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83898;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83897;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83896;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE
83896;PERDA DE CONTROLE NO SOLO;PERDA DE CONTROLE NO SOLO;LOC-G
83895;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
