codigo_ocorrencia3;fator_nome;fator_aspecto;fator_condicionante;fator_area
79651;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79645;OUTRO FATOR;OUTRO;***;OUTRO
79640;INFRAESTRUTURA AEROPORTUÁRIA;INFRAESTRUTURA AEROPORTUÁRIA;***;FATOR OPERACIONAL
79640;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79636;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79627;OUTRO FATOR;OUTRO;***;OUTRO
79620;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79620;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79620;INFRAESTRUTURA AEROPORTUÁRIA;INFRAESTRUTURA AEROPORTUÁRIA;***;FATOR OPERACIONAL
79620;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79620;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79620;PRESENÇA DE FAUNA (NÃO AVE);ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79619;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79619;PRESENÇA DE FAUNA (NÃO AVE);ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79608;OUTRO FATOR;OUTRO;***;OUTRO
79607;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79605;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79605;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79605;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79600;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79595;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79595;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79595;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79595;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79595;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79595;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79595;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79595;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79595;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79595;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79589;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79589;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79589;CONHECIMENTO DE NORMAS (ATS);DESEMPENHO DO SER HUMANO;PRESTAÇÃO DE SERVIÇOS DE TRÁFEGO AÉREO;FATOR OPERACIONAL
79589;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79589;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79589;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79589;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79580;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79580;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79580;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79574;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79574;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79574;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79574;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79574;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79574;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79572;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79572;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79572;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79572;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79572;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79572;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79568;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79567;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79567;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79567;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79567;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79567;MEMÓRIA;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79567;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79567;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79567;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79567;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79565;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79565;POUCA EXPERIÊNCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79564;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79564;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79564;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79564;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79564;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79564;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79564;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79563;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79563;CULTURA DO GRUPO DE TRABALHO;ASPECTO PSICOLÓGICO;PSICOSSOCIAL;FATOR HUMANO
79563;CULTURA ORGANIZACIONAL;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79563;DINÂMICA DE EQUIPE;ASPECTO PSICOLÓGICO;PSICOSSOCIAL;FATOR HUMANO
79563;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79563;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79563;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79559;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79559;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79559;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79559;POUCA EXPERIÊNCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79559;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79555;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79555;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79547;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79547;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79547;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79543;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79543;OUTRO FATOR;OUTRO;***;OUTRO
79543;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79541;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79541;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79541;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79541;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79536;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79536;INFRAESTRUTURA AEROPORTUÁRIA;INFRAESTRUTURA AEROPORTUÁRIA;***;FATOR OPERACIONAL
79536;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79536;MEMÓRIA;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79536;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79536;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79524;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79524;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79524;COMUNICAÇÃO;ASPECTO PSICOLÓGICO;PSICOSSOCIAL;FATOR HUMANO
79524;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79524;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79524;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79520;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79520;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79520;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79520;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79510;OUTRO FATOR;OUTRO;***;OUTRO
79505;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79505;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79505;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79505;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79504;OUTRO FATOR;OUTRO;***;OUTRO
79502;OUTRO FATOR;OUTRO;***;OUTRO
79497;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79497;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79497;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79495;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79495;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79495;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79495;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79494;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79494;MEMÓRIA;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79494;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79494;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79493;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79493;CONDIÇÕES FÍSICAS DO TRABALHO;ERGONOMIA;***;FATOR HUMANO
79493;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79493;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79493;POUCA EXPERIÊNCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79493;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79486;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79486;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79486;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79486;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79486;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79484;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79484;MEMÓRIA;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79484;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79467;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79467;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79460;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79460;DESORIENTAÇÃO;ASPECTO MÉDICO;***;FATOR HUMANO
79460;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79460;MOTIVAÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79460;OUTRO FATOR;OUTRO;***;OUTRO
79460;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79460;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79460;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79458;FABRICAÇÃO;ASPECTO DE FABRICAÇÃO;***;FATOR MATERIAL
79458;MANUSEIO DO MATERIAL;ASPECTO DE MANUSEIO DO MATERIAL;***;FATOR MATERIAL
79457;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79457;OUTRO FATOR;OUTRO;***;OUTRO
79456;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79456;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79456;INFRAESTRUTURA AEROPORTUÁRIA;INFRAESTRUTURA AEROPORTUÁRIA;***;FATOR OPERACIONAL
79456;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79456;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79456;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79455;OUTRO FATOR;OUTRO;***;OUTRO
79447;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79447;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79447;OUTRO FATOR;OUTRO;***;OUTRO
79446;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79446;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79446;CARACTERÍSTICAS DA TAREFA;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79446;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79446;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79446;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79437;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79437;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79437;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79437;MOTIVAÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79437;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79436;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79436;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79436;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79429;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79429;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79429;OUTRO FATOR;OUTRO;***;OUTRO
79429;POUCA EXPERIÊNCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79423;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79423;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79423;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79423;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79414;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79414;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79414;ESQUECIMENTO DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79414;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79414;MEMÓRIA;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79414;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79414;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79414;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79407;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79407;FADIGA;ASPECTO MÉDICO;***;FATOR HUMANO
79407;SOBRECARGA DE TAREFAS;ASPECTO MÉDICO;***;FATOR HUMANO
79404;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79397;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79397;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79397;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79397;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79365;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79365;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79363;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79363;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79363;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79363;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79363;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79362;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79362;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79362;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79362;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79359;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79359;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79347;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
79347;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL
79347;DESORIENTAÇÃO;ASPECTO MÉDICO;***;FATOR HUMANO
79347;ESTADO EMOCIONAL;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
79346;MANUSEIO DO MATERIAL;ASPECTO DE MANUSEIO DO MATERIAL;***;FATOR MATERIAL
79346;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79345;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79345;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79345;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
79340;ANSIEDADE;ASPECTO MÉDICO;***;FATOR HUMANO
79340;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
79340;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
